street,number,zip,city,latitude,longitude
Klein Kienitzer Straße,2,15834,Rangsdorf,52.298375,13.45852
Karl-Liebknecht-Straße,19,15827,Blankenfelde-Mahlow,52.3343542,13.4052775
Jühnsdorfer Weg,1A,15827,Blankenfelde-Mahlow,52.3283788,13.4082852
Beethovenstraße,1,15831,Blankenfelde-Mahlow,52.3586453,13.4075593
Markt,9,52511,Geilenkirchen,50.96446,6.12099
Bahnhofstraße,1,51674,Wiehl,50.9488904,7.5485704
Bahnhofstraße,1,51674,Wiehl,50.9488904,7.5485704
Brummerackerweg,6,25499,Tangstedt,53.676614,9.84813
Pulvermühle,3,57319,Bad Berleburg,51.0482826,8.2714587
Rathausstraße ,16,22941,Bargteheide,53.729588,10.265397
Postplatz,1,8523,Plauen,50.496269,12.135867
Neue Poststraße,6,85598,Vaterstetten,48.0979416,11.7884509
Ruppertstr.,36,66271,Kleinblittersdorf,49.14108,7.05561
Wintringer Straße,70,66271,Kleinblittersdorf,49.1621232,7.0392627
Wintringer Straße,86,66271,Kleinblittersdorf,49.163341,7.043173
Wolfgang-Brumme-Allee,27,71034,Böblingen,48.6876867,9.0066132
Rankbachstr,40,71272,Renningen,48.76929,8.9297499
Zu den Fischteichen,6A,22941,Bargteheide,53.72207,10.25616
Birkenweg,23,23826,Bark,53.911173,10.166863
Markt,20,7318,Saalfeld/Saale,50.6483693,11.3607338
Johannes-Scheele-Straße,12,57413,Finnentrop,51.164795,7.978979
Magdalenenstraße,8,64289,Darmstadt,49.8766336,8.6577282
Vorwerker Straße ,141,23554,Lübeck,53.9008972,10.6743656
Luisenstraße,18,64283,Darmstadt,49.8721421,8.6516634
Ratekauer Weg,1,23554,Lübeck,53.8987399,10.6729519
Vorwerker Straße,141,23554,Lübeck,53.9008972,10.6743656
Do,6,25917,Sprakebüll,54.67353147,8.890783984
Friedrichsthaler Straße,4,66540,Neunkirchen,49.33046,7.13598
Am Butterberg,10,25336,Elmshorn,53.7288051,9.6558059
Hof Louisenlund,,24357,Güby,54.48637,9.6753348
Senator-Braun-Allee,33,31135,Hildesheim,52.1511734,9.9791757
Im Gewerbegebiet,14,26419,Schortens,53.5378857,7.9602991
L297,8,25712,Quickborn,54.0127576,9.2176655
Friedrichsthaler Straße,4,66540,Neunkirchen,49.33044,7.13624
Diekseepromenade,4,23714,Malente,54.165661,10.5473717
Zum Feldkamp,9,27619,Schiffdorf,53.526992,8.647472
Am Sportplatz ,2,87616,Wald,47.722355,10.560783
Gärtnerstraße,133135137,25469,Halstenbek,53.630772,9.862323
Am Sportplatz,2,87616,Wald,47.722355,10.560783
Kesselschmiedstr,2,85354,Freising,48.394633,11.739656
Münchner Str,32,85354,Freising,48.387032,11.735298
Marienplatz ,1,85354,Freising,48.400755,11.743657
Kirchstraße ,3,85375,Mintraching ,48.319456,11.687337
Westdorf,130,26579,Baltrum,53.729298,7.372247
K1696,,71665,Vaihingen an der Enz,48.9408639,8.9644039
Theodor-Heuss-Straße,30,71665,Vaihingen an der Enz,48.9525904,8.9773126
Ensinger Straße,10,71665,Vaihingen an der Enz,48.95243,8.96699
Schulstraße,42,24819,Haale,54.16898,9.5596
Herschelstraße,40C,70565,Stuttgart,48.7168028,9.1235248
Schürmannstraße,17,45136,Essen,51.433537,7.033155
Bergstraße,4,84079,Bruckberg,48.520963,11.996219
Bahnhofstraße,15B,84079,Bruckberg,48.518915,11.995165
Ingolstädter Straße ,1,85077,Manching,48.716789,11.494152
Hauptstraße,9,25497,Prisdorf,53.67278623,9.773522458
Süderstraße,71,24955,Harrislee,54.7998571,9.3993541
Eckenerstraße,24,24939,Flensburg,54.7944744,9.4217666
Jahnstraße,9,25358,Horst (Holstein),53.813165,9.618961
Schlossstraße,18,68549,Ilvesheim,49.4713914,8.5672003
Schlosspark,6,74357,Bönnigheim,49.039461,9.09331
Händelstraße,23,6114,Halle (Saale),51.4948567,11.9616573
Berliner Straße,49,69120,Heidelberg,49.4185722,8.6755527
Ziegeleiweg,35,27299,Langwedel,52.97474,9.10802
Seestraße,34,23683,Scharbeutz,54.026063,10.751503
Schulstraße ,7,23683,Scharbeutz,54.020526,10.752722
Ahrenloher Straße,65A,25436,Tornesch,53.700862,9.722702
Schulstr.,65,25368,Kiebitzreihe,53.7777293,9.6018724
P.-H.-Eggers-Straße,22,24768,Rendsburg,54.303259,9.704602
Ingolstädter Straße,1,85077,Manching,48.716789,11.494152
Elmshorner Str. ,4,25358,Horst,53.8108124,9.6183449
Moltkestraße,26,25335,Elmshorn,53.759146,9.666257
Große Str.,16,21769,Lamstedt,53.6361611,9.0957734
Max-Fischer-Str.,11,86399,Bobingen,48.263839,10.819303
Mittelstetter Weg,2,86830,Schwabmünchen,48.193416,10.758579
Fuggerstraße ,50,86830,Schwabmünchen,48.184229,10.757577
Sparkassenplatz,1,86830,Schwabmünchen,48.18086524,10.75965703
Raiffeisenstr.,1,86830,Schwabmünchen,48.180887,10.758283
Fuggerstraße 1,,86830,Schwabmünchen,48.17923142,10.75793807
Badstr.,21,86830,Schwabmünchen,48.17458343,10.74910504
Schulstraße,61,25368,Kiebitzreihe,53.7777293,9.6018724
Holstenplatz,5,22869,Schenefeld,53.600039,9.836387
Osterbrooksweg,42,22869,Schenefeld,53.59282,9.83427
Osterbrooksweg,73,22869,Schenefeld,53.59129,9.83156
Holtkamp,102,22869,Schenefeld,53.589472,9.817519
Kiebitzweg,2,22869,Schenefeld,53.60390243,9.836133933
Kiebitzweg,24,22869,Schenefeld,53.60466,9.837175
Kiebitzweg,22,22869,Schenefeld,53.604284,9.836477
Jahnstraße,21,22869,Schenefeld,53.607191,9.846117
Flachter Straße,5–9,71277,Rutesheim,48.8086355,8.9451757
Saarstraße,20,74172,Neckarsulm,49.1897693,9.2342347
Dorfstraße ,43,25370,Seester ,53.718324,9.597823
Kieler Straße,53,24768,Rendsburg,54.308965,9.692687
Siebenstücken,14,24558,Kisdorf,53.811623,9.973221
Itzlishofer Str,,86850,Willmatshofen,48.2754096,10.65898435
Hauptstr.,16,86850,Fischach,48.288374,10.655889
Ortsstr.,16,86850,Fischach,48.283215,10.617668
Raiffeisenstr.,5,86863,Lanenneufnach,48.264644,10.607814
